German,English
entfernt,(distance) away
das Entrecôte,steak
erkranken,to fall ill
erreichbar,contactable
die Etage,floor (of a building)
extern,external
der Fahrersitz,driver’s seat
die Fahrgemeinschaft,car sharing
festgehalten,held tight
der/die Firmenkunde/Firmenkundin,company client
der Firmentransporter,company transporter/van
die Flugverbindung,connection (flight)
föhnen,to hair dry
freinehmen,to take leave
fußläufig,within walking distance
das Gasrohr,gas pipe
der Gasthof,guest house
gegebenenfalls,as applicable
die Geschäftsreise,business trip
das Gewerbegebiet,industrial estate
die Halterung,bracket
handeln,to trade
die Hauspost,internal mail
der Heizkörper,radiator
der Heizungsanschluss,heating connection
das Heizungsrohr,heating pipe
die Heizungstherme,heater
das Hotelbuchungsportal,hotel booking portal
die Hotelkategorie,hotel category
der Innenhof,inner courtyard
die Inventur,inventory
jeweilig,respective
die Kabeltrommel,cable reel
der Kalbsbraten,roast veal
der Karton,package
die Kiste,box
kleinschrittig,in small steps
die Klimaanlage,air conditioning system
komplex,complex
die Kundenunterlagen,customer records
die Kurpackung,cure package
kurzfristig,short-term
das Lamm,lamb
das Lammcarré,lammcarré
lehnen,to lean
die Leitung,line
die Lieferadresse,delivery address
der Lieferschein,delivery slip
der Lieferwagen,delivery van
das Lüftungsrohr,ventilation pipe
der/die Maurer/in,wall builder
das Meeting,meeting
der Mietautoservice,car rental service
mittellang,mid-length
die Montageanleitung,assembly instruction
montieren,to assemble
die Notwendigkeit,necessity
oftmals,oftentimes
die Onlinesuche,online search
die Organisation,organisation
die Präsentation,presentation
der Probedurchlauf,dry-run
der Probelauf,test run
die Qualitätssicherung,quality assurance
rausfahren,to drive out
raussuchen,to choose
die Reaktion,reaction
die Reinigungsperson,member of cleaning staff
die Reiseroute,itinerary
restlich,remaining/left-over
die Richtlinie,guideline
das Rind,beef
die Rohrdämmung,tubing insulation
runterfahren,to turn off
runterladen,to download
der Schichtwechsel,shift change
der Schlitz,slit
der Schnitt,cut
schrauben,to screw
die Schulung,training
der Seifenspender,soap dispenser
die Sicherungskopie,backup copy
spontan,spontaneous
der Stick,usb stick
das Suchergebnis,search result
das System,system
die Tagessuppe,soup of the day
die Tagung,convention
der Takt,pace
die Therme,spa
das Toilettenpapier,toilet paper
unangenehm,unpleasant
unpassend,unsuitable
die Verbindlichkeit,liability
das Verbindungsstück,connecting piece
verneinen,to deny
verschließen,to seal
der/die Vertreter/in,representative
der/die Vorarbeiter/in,foreman
die Vorgabe,specification
das Vorgehen,approach
vorlegen,to provide
das Waschbecken,sink
der Wäschereiservice,laundry service
das Wasserrohr,water pipe
die Wegbeschreibung,description of the route
wischen,to wipe
das WLAN,wifi
der Zementsack,cement sack
die Zimmerkategorie,room category
zusenden,to submit
die Zwischenzeit,interim period
die Abbildung,illustration
der Aufhänger,trailer (vehicle)
ausführlich,in-depth
der/die Außendienstmitarbeiter/in,field agent
der/die Aussteller/in,exhibitor
das Baddesign,bathroom design
der Bau,construction
bedenken,to consider
begleiten,to accompany
beruhigen,to calm
beschäftigen,to occupy
besorgen,to provide
die Besorgung,provision
der/die Besucher/in,visitor
betragen,to amount to
das Datenblatt,data sheet
derzeit,currently
dreijährig,three-year
durchfahren,to pass through
ebenfalls,likewise
die Eigenschaft,characteristic
die Einkaufsabteilung,purchasing department
die Einzelheit,detail
energieeffizient,energy-efficient
erläutern,to clarify
die Erlebniswelt,theme park
erneuerbar,renewable
erstaunlich,astonishing
erweitern,to expand
die Fachmesse,trade fair
der Flyer,flyer
der Geschäftsbrief,business letter
der/die Gesprächspartner/in,conversational partner
gezielt,targeted
das Give-away,give-away
der/die Großhändler/in,wholesaler
die Handtasche,handbag
hauptsächlich,mainly
der Heimweg,way home
die Heizungsanlage,heating unit
die Höhe,height
die Industrieanlage,industrial plant
die Kappe,cap
die Klimatechnik,air conditioning technology
der Kongress,congress
der/die Konkurrent/in,rival
konkurrenzfähig,competitive
Kontakte knüpfen,to make contacts
das/der Kundencenter,customer service centre
das Kundengespräch,customer meeting
die Leistungsschau,exhibition
die Lieferzeit,delivery time
das Login,log-in
das Maß,extent
die Messe,trade fair
das Messegelände,trade fair grounds
der Messestand,trade fair stand
die Mitte,middle
die Mühe; sich Mühe geben,effort; to make an effort
die Neuheit,novelty
der Nordwesten,northwest
orientieren,to orient
das Partnerland,partner country
platzsparend,space-saving
das Poster,poster
der Posteraufhänger,poster hanger
die Präsenz,presence
premium,premium
der Prospektständer,brochure rack
die Saison,season
die Sanitäranlage,sanitary facility
die Sanitäreinrichtung,sanitary installation
schiefgehen,to go wrong
das Silikon,silicone
der Small Talk,small talk
sodass,so that
die Sommersaison,summer season
das Sortiment,assortment
der Ständer,stand
der Sticker,sticker
das Stoffmuster,fabric pattern
die Übersicht,overview
der Veranstalter/in,event organiser
die Vereinbarung,agreement
das Vergnügen,pleasure
das Verkaufsgespräch,sales pitch
vertreten,to represent
die Visitenkarte,business card
die Wartung,maintenance
der Wartungsvertrag,maintenance contract
weltgrößte,world’s biggest
die Weltleitmesse,world-leading conference
der Werbeslogan,advertising slogan
der/die Wettbewerber/in,competitor
wettbewerbsfähig,competitive
die Zahlungsbedingung,payment conditions
der Zentimeter,centimetre
zentral,central
zusammenfassen,to summarise
das Altgerät,old device
die Anfrage,request
das Angebotsschreiben,offer letter
der Anhang,attachment
anlässlich,on the occasion of
die Ansicht,view
die Anzahl,quantity
der Apothekerschrank,chemist’s cupboard
die Arbeitsplatte,work surface
der Atlantik,atlantic
der Aufpreis,surcharge
die Auftragserteilung,order placement
die Ausgabe,issue
ausschließlich,exclusively
der Ausschnitt,section
das Autohaus,car showroom
bankrott,bankrupt
binnen,within
das Budget,budget
das Cerankochfeld,ceramic hob
die Dunstabzugshaube,extractor hood
der Edelstahl,stainless steel
die Edelstahleinbauspüle,stainless steel in-built sink
die Eilübersetzung,urgent translation
der Eilzuschlag,urgency fee
der Einbauherd,built-in oven
die Einverständniserklärung,declaration of consent
das Elektrogerät,electronic device
die Energieeffizienzklasse,energy efficiency class
erfüllen,to fulfil
der/die Exporteur/in,exporter
der Fachtext,specialist text
der/die Fahrradhändler/in,bicycle dealer
der Fahrzeugbrief,vehicle registration document
das Firmengelände,company property
die Front,front
frühestens,at the earliest
